房价（元/平米）,室,厅,卫,面积（平米）,楼层,建成年份
78678,2,1,1,76.26,6,2003
83942,3,2,2,137,11,2003
53942,1,0,1,40.97,6,1989
68929,2,1,1,75.44,6,1995
99163,1,1,1,45.38,6,1996
72442,3,1,1,100.77,24,1998
93637,2,0,1,52.33,6,1995
68605,1,1,1,43,18,2000
63182,1,1,1,34.82,6,1986
57279,1,1,1,41.9,6,1993
50938,2,1,1,74.6,24,2002
65646,1,1,1,41.13,6,1993
65128,3,1,1,78,6,1997
69662,2,1,1,70.34,6,1998
57494,2,2,1,100.88,24,1996
45651,2,1,1,83.24,15,2016
72482,2,2,1,78.64,6,2003
69901,2,1,1,60.8,6,1996
67237,3,1,1,81.8,6,1996
64002,1,1,1,42.03,6,1988
54778,1,0,1,32.86,7,1987
70822,1,1,1,42.36,6,1983
84548,2,2,1,89.89,23,2011
57971,2,1,1,69,6,1995
50000,2,1,1,61,6,1997
57955,1,1,1,44,7,1995
48532,2,1,1,83.45,20,1998
50134,2,2,1,89.76,5,2005
65106,2,1,1,64.51,6,2001
62687,2,2,1,67,6,1998
62687,2,2,1,67,6,1998
67238,2,1,1,59.49,6,1996
58956,1,1,1,35.62,6,1984
28788,2,1,1,66,17,2016
55866,2,1,1,62.65,6,1996
64853,2,1,1,63.22,6,2003
55757,3,1,1,71.74,6,1996
60484,1,1,1,44.64,6,1990
51523,2,2,1,89.28,14,2010
63665,1,1,1,43.98,6,1994
59418,1,1,1,50.49,6,1993
69832,2,1,1,71.6,6,1993
64767,2,1,1,46.32,5,1977
48875,3,2,2,125.83,6,2006
57213,2,1,1,73.41,6,1994
49970,2,1,1,66.04,6,2003
68750,1,1,1,48,24,1995
65763,2,1,1,50.18,6,1987
70964,3,1,1,84.55,6,1996
43820,2,2,1,89,14,2006
57158,1,1,1,38.49,6,1982
67186,3,1,1,65.49,6,1993
67164,2,1,1,80.4,17,2009
83195,1,1,1,30.05,6,1979
61172,2,1,1,62.12,6,1994
59640,3,2,1,106.64,18,2007
69041,2,1,1,63.73,25,1990
56320,3,1,1,92.33,6,2001
60993,2,1,1,68.86,7,1996
68901,3,2,2,117.56,5,1994
55596,1,1,1,41.37,6,1988
65839,1,1,1,40.25,6,1990
59161,1,1,1,43.61,6,1976
67196,2,1,1,49.11,6,1982
59488,2,1,1,84.05,7,1997
67377,1,1,1,31.91,6,1984
51954,2,1,1,84.69,11,2010
60370,3,2,1,74.54,6,1993
57410,2,1,1,56.61,6,1994
60267,2,1,1,75,24,2002
55858,2,2,1,69.82,6,1998
89711,1,0,1,35.67,6,1991
56005,2,1,1,48.21,5,1954
70762,1,1,1,36.46,6,1978
62387,2,1,1,49.69,6,1995
52581,2,2,1,82.73,6,1994
64346,2,1,1,47.4,6,1991
103143,2,1,1,61.08,6,1994
48209,2,2,1,91.27,6,2010
82902,2,2,1,94.69,24,2008
73052,2,1,1,55.44,6,1989
93922,2,1,1,56.43,14,1975
41990,2,1,1,72.16,6,1993
88574,1,1,1,56.45,13,2014
106329,2,1,1,79,6,2003
69901,2,1,1,71.53,6,1994
54884,3,2,1,104.22,11,2013
50786,1,2,1,61.04,14,2007
79091,2,1,1,69.54,6,1995
55402,2,1,1,86.64,6,1998
70919,2,1,1,56.12,6,1990
58133,1,0,1,35.78,6,1990
56976,3,1,1,71.96,6,1994
61050,2,0,1,60.77,18,1989
96978,2,2,2,97.96,8,1998
74224,1,1,1,44.46,6,1993
62822,2,0,1,48.55,6,1993
69532,2,1,1,47.46,6,1984
48527,1,1,1,57.7,6,2012
64017,2,1,1,58.11,6,1994
33910,2,1,1,58.98,6,1995
54897,2,1,1,69.22,6,1996
36111,1,1,1,54,6,2005
51556,2,1,1,56.25,6,2004
78697,2,1,1,64.17,25,1990
63497,1,0,1,30.71,6,1969
61434,3,2,2,130.22,11,2006
64103,1,1,1,43.68,6,1995
60217,1,1,1,50.65,6,1996
67579,2,2,1,61.41,5,1989
83926,2,2,1,101.28,6,1998
